                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1082,                 6.3196,                 1.1964,                0.00314,                0.27119,                0.00241,                0.00066,                 2.3092,                 5.0276,                  0.978,                0.00016,                0.00016,                0.00016
                      1,                  2.535,                 3.8277,                 1.0599,                0.00294,                0.25424,                0.00271,                 0.0009,                 2.1785,                  4.678,                0.95671,             0.00033888,             0.00033888,             0.00033888
                      2,                 2.5618,                 3.2487,                 1.0083,                0.00353,                0.30508,                 0.0038,                0.00135,                 2.1397,                 4.4505,                0.94113,             0.00051657,             0.00051657,             0.00051657
                      3,                 2.3736,                 2.9829,                0.99006,                0.00353,                0.30508,                0.00337,                0.00107,                 2.1198,                 4.4628,                0.97399,             0.00069307,             0.00069307,             0.00069307
                      4,                 2.4753,                 2.8325,                 1.0124,                0.00412,                0.35593,                0.00419,                0.00132,                 2.2829,                 4.2113,                  1.066,             0.00086838,             0.00086838,             0.00086838
                      5,                 2.4472,                 2.6604,                 1.0379,                0.00725,                0.62712,                0.06347,                 0.0268,                 2.3837,                 3.8603,                 1.0483,              0.0010425,              0.0010425,              0.0010425
                      6,                  2.321,                  2.468,                0.97421,                0.00882,                0.76271,                0.03247,                0.01014,                   2.29,                  3.605,                 1.0491,              0.0012154,              0.0012154,              0.0012154
                      7,                 2.4325,                 2.3973,                 1.0017,                0.35595,                0.59322,                0.40414,                0.11995,                 2.2622,                 3.1245,                 1.0601,              0.0013872,              0.0013872,              0.0013872
                      8,                 2.3929,                 2.4413,                 1.0119,                      1,                0.06648,                0.39287,                 0.1417,                 2.3459,                 2.9764,                 1.0914,              0.0015578,              0.0015578,              0.0015578
                      9,                 2.3205,                 2.3346,                0.99711,                0.74884,                0.30328,                0.50135,                0.18495,                 2.2238,                 2.5735,                 1.0554,              0.0017271,              0.0017271,              0.0017271
                     10,                 2.3225,                 2.1493,                 0.9766,                0.61169,                0.40059,                0.48532,                0.20484,                 2.1284,                 2.3807,                 1.0174,              0.0018953,              0.0018953,              0.0018953
                     11,                 2.3032,                 2.0603,                0.98264,                0.54599,                0.52542,                 0.4972,                0.19018,                 2.2451,                 2.1596,                 1.0623,              0.0019274,              0.0019274,              0.0019274
                     12,                 2.3214,                  2.025,                 0.9963,                0.57263,                0.49153,                0.51186,                0.18136,                 2.3093,                 1.9658,                 1.1154,              0.0019274,              0.0019274,              0.0019274
                     13,                 2.3737,                 2.1261,                0.99582,                0.43911,                0.38983,                0.36248,                0.13727,                 2.3115,                 2.1153,                 1.0947,              0.0019208,              0.0019208,              0.0019208
                     14,                 2.2568,                 1.9534,                 1.0127,                0.47731,                0.52542,                0.46567,                0.15447,                 2.2431,                 1.9007,                 1.0651,              0.0019142,              0.0019142,              0.0019142
                     15,                 2.2068,                 1.8636,                0.97561,                0.56865,                0.55932,                0.49172,                0.17957,                 2.2836,                 1.9223,                 1.0597,              0.0019076,              0.0019076,              0.0019076
                     16,                 2.3081,                 1.9112,                0.97533,                0.50543,                0.59322,                0.48037,                0.15857,                 2.4203,                 1.9071,                  1.078,               0.001901,               0.001901,               0.001901
                     17,                 2.3248,                 1.9108,                0.97139,                0.53131,                0.61017,                0.57427,                0.20368,                 2.3015,                 2.1013,                 1.0887,              0.0018944,              0.0018944,              0.0018944
                     18,                  2.372,                 1.9992,                0.97964,                0.56571,                0.55932,                0.53073,                0.18541,                 2.2724,                 1.9675,                 1.0481,              0.0018878,              0.0018878,              0.0018878
                     19,                  2.318,                 1.9114,                0.98789,                0.51863,                0.72881,                0.56111,                0.18472,                 2.3008,                 2.0921,                 1.0433,              0.0018812,              0.0018812,              0.0018812
                     20,                  2.306,                  1.789,                0.99732,                0.68755,                0.49153,                0.52025,                0.17891,                  2.287,                 2.0012,                 1.0411,              0.0018746,              0.0018746,              0.0018746
                     21,                 2.1553,                 1.7816,                0.98167,                0.52617,                0.62712,                0.53563,                0.19364,                 2.2778,                 1.9107,                 1.0685,               0.001868,               0.001868,               0.001868
                     22,                 2.2606,                 1.7515,                 0.9583,                0.54176,                0.61017,                0.53606,                0.19279,                 2.3997,                 1.7117,                 1.1094,              0.0018614,              0.0018614,              0.0018614
                     23,                 2.2636,                 1.7682,                0.97073,                0.57206,                0.54379,                0.54451,                0.19825,                  2.346,                 1.6339,                  1.083,              0.0018548,              0.0018548,              0.0018548
